Sample,Original_Nodes,Reconstructed_Nodes,Node_Diff,Perfect_Preservation,Embedding_Dim
2141,46,46,0,True,64
2146,25,25,0,True,64
2234,34,34,0,True,64
2238,52,52,0,True,64
2239,46,46,0,True,64
2259,14,14,0,True,64
2270,131,131,0,True,64
2271,24,24,0,True,64
2282,25,25,0,True,64
2300,35,35,0,True,64
2303,26,26,0,True,64
2308,34,34,0,True,64
2309,27,27,0,True,64
2331,86,86,0,True,64
2332,24,24,0,True,64
2333,10,10,0,True,64
2344,88,88,0,True,64
2353,50,50,0,True,64
2356,128,128,0,True,64
2365,42,42,0,True,64
2380,85,85,0,True,64
2389,72,72,0,True,64
2405,30,30,0,True,64
2430,25,25,0,True,64
2448,46,46,0,True,64
2459,49,49,0,True,64
2462,25,25,0,True,64
2476,138,138,0,True,64
2480,81,81,0,True,64
2500,22,22,0,True,64
2503,57,57,0,True,64
2506,48,48,0,True,64
2523,12,12,0,True,64
2529,69,69,0,True,64
2538,19,19,0,True,64
2540,269,269,0,True,64
2565,67,67,0,True,64
2571,52,52,0,True,64
2587,10,10,0,True,64
2599,49,49,0,True,64
2608,65,65,0,True,64
2619,25,25,0,True,64
2620,57,57,0,True,64
2628,458,458,0,True,64
2688,37,37,0,True,64
2702,55,55,0,True,64
2710,45,45,0,True,64
2719,25,25,0,True,64
2720,129,129,0,True,64
2741,491,491,0,True,64
2756,55,55,0,True,64
2757,22,22,0,True,64
2773,25,25,0,True,64
2775,16,16,0,True,64
2777,16,16,0,True,64
2807,25,25,0,True,64
2830,72,72,0,True,64
2832,22,22,0,True,64
2843,45,45,0,True,64
2864,51,51,0,True,64
2891,25,25,0,True,64
2902,19,19,0,True,64
2922,25,25,0,True,64
2926,25,25,0,True,64
2927,23,23,0,True,64
2934,8,8,0,True,64
2935,19,19,0,True,64
2939,25,25,0,True,64
2948,23,23,0,True,64
2962,80,80,0,True,64
2971,16,16,0,True,64
2981,25,25,0,True,64
2995,40,40,0,True,64
3002,42,42,0,True,64
3021,25,25,0,True,64
3034,25,25,0,True,64
3036,51,51,0,True,64
3039,20,20,0,True,64
3057,69,69,0,True,64
3070,17,17,0,True,64
3102,25,25,0,True,64
3119,20,20,0,True,64
3129,25,25,0,True,64
3132,12,12,0,True,64
3133,12,12,0,True,64
3153,28,28,0,True,64
3169,44,44,0,True,64
3206,12,12,0,True,64
3209,23,23,0,True,64
3210,25,25,0,True,64
3239,23,23,0,True,64
3245,21,21,0,True,64
3246,22,22,0,True,64
3251,121,121,0,True,64
3253,15,15,0,True,64
3320,77,77,0,True,64
3329,64,64,0,True,64
3345,25,25,0,True,64
3365,8,8,0,True,64
3377,23,23,0,True,64
3379,20,20,0,True,64
3409,23,23,0,True,64
3414,37,37,0,True,64
3424,13,13,0,True,64
3448,19,19,0,True,64
3471,113,113,0,True,64
3560,21,21,0,True,64
3564,12,12,0,True,64
3567,35,35,0,True,64
3578,36,36,0,True,64
3591,22,22,0,True,64
3597,71,71,0,True,64
3605,25,25,0,True,64
3613,77,77,0,True,64
3626,21,21,0,True,64
3628,42,42,0,True,64
3630,22,22,0,True,64
3632,102,102,0,True,64
3633,25,25,0,True,64
3640,72,72,0,True,64
3644,25,25,0,True,64
3684,24,24,0,True,64
3708,25,25,0,True,64
3718,25,25,0,True,64
3723,17,17,0,True,64
3771,22,22,0,True,64
3822,29,29,0,True,64
3853,13,13,0,True,64
3857,25,25,0,True,64
3860,52,52,0,True,64
3875,26,26,0,True,64
3906,39,39,0,True,64
3939,44,44,0,True,64
3946,75,75,0,True,64
3951,25,25,0,True,64
3953,64,64,0,True,64
3958,10,10,0,True,64
3983,54,54,0,True,64
4005,25,25,0,True,64
4007,26,26,0,True,64
4029,8,8,0,True,64
4051,71,71,0,True,64
4072,44,44,0,True,64
4088,18,18,0,True,64
4092,25,25,0,True,64
4095,22,22,0,True,64
4102,12,12,0,True,64
4115,37,37,0,True,64
4130,12,12,0,True,64
4133,46,46,0,True,64
4146,44,44,0,True,64
